Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Moisés Caicedo,ec ECU,"MF,DF",22,38,38,"3,351",37.2,1,2,3,1,0,0,11,0
Cole Palmer,eng ENG,"MF,FW",22,37,36,"3,191",35.5,15,8,23,11,4,5,7,0
Levi Colwill,eng ENG,DF,21,35,35,"3,149",35.0,2,1,3,2,0,0,9,0
Marc Cucurella,es ESP,DF,26,36,33,"2,988",33.2,5,1,6,5,0,0,10,1
Enzo Fernández,ar ARG,MF,23,36,32,"2,947",32.7,6,7,13,6,0,0,8,0
Robert Sánchez,es ESP,GK,26,32,32,"2,880",32.0,0,0,0,0,0,0,5,0
Nicolas Jackson,sn SEN,FW,23,30,28,"2,220",24.7,10,5,15,10,0,0,7,1
Noni Madueke,eng ENG,FW,22,32,27,"2,033",22.6,7,3,10,7,0,0,3,0
Pedro Neto,pt POR,FW,24,35,24,"2,269",25.2,4,6,10,4,0,0,8,0
Malo Gusto,fr FRA,DF,21,32,19,"1,862",20.7,0,1,1,0,0,0,4,0
Jadon Sancho,eng ENG,FW,24,31,19,"1,764",19.6,3,4,7,3,0,0,2,0
Tosin Adarabioyo,eng ENG,DF,26,22,15,"1,409",15.7,1,1,2,1,0,0,4,0
Wesley Fofana,fr FRA,DF,23,14,14,"1,172",13.0,0,0,0,0,0,0,7,0
Reece James,eng ENG,"DF,MF",24,19,12,"1,063",11.8,1,1,2,1,0,0,1,0
Trevoh Chalobah,eng ENG,DF,25,13,11,910,10.1,0,1,1,0,0,0,2,0
,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Roméo Lavia,be BEL,MF,20,16,11,797,8.9,0,1,1,0,0,0,4,0
Christopher Nkunku,fr FRA,FW,26,27,9,921,10.2,3,2,5,3,0,0,2,0
Filip Jørgensen,dk DEN,GK,22,6,6,540,6.0,0,0,0,0,0,0,0,0
Axel Disasi,fr FRA,DF,26,6,4,364,4.0,1,0,1,1,0,0,1,0
João Félix,pt POR,"FW,MF",24,12,3,369,4.1,1,1,2,1,0,0,2,0
Benoît Badiashile,fr FRA,DF,23,5,3,334,3.7,0,0,0,0,0,0,0,0
Kiernan Dewsbury-Hall,eng ENG,"MF,FW",25,13,2,264,2.9,0,1,1,0,0,0,0,0
Joshua Acheampong,eng ENG,DF,18,4,2,170,1.9,0,0,0,0,0,0,1,0
Tyrique George,eng ENG,FW,18,8,1,183,2.0,1,1,2,1,0,0,1,0
Renato Veiga,pt POR,"DF,MF",21,7,1,181,2.0,0,0,0,0,0,0,2,0
Mykhailo Mudryk,ua UKR,FW,23,7,1,151,1.7,0,0,0,0,0,0,0,0
Marc Guiu,es ESP,FW,18,3,0,73,0.8,0,0,0,0,0,0,0,0
Mathis Amougou,fr FRA,MF,18,1,0,8,0.1,0,0,0,0,0,0,0,0
Shumaira Mheuka,eng ENG,MF,16,1,0,1,0.0,0,0,0,0,0,0,0,0
Aaron Anselmino,ar ARG,DF,19,0,0,,,,,,,,,,
Genesis Antwi,se SWE,MF,17,0,0,,,,,,,,,,
Marcus Bettinelli,eng ENG,GK,32,0,0,,,,,,,,,,
Cesare Casadei,it ITA,MF,21,0,0,,,,,,,,,,
Samuel Rak-Sakyi,eng ENG,MF,19,0,0,,,,,,,,,,
Ishé Samuels-Smith,eng ENG,DF,18,0,0,,,,,,,,,,
